순번,지사,계약종별,접수번호,업무구분,신청방법,접수자구분,이용 편리성,직원 친절도,전반적 만족,사회적 책임,처리 신속도,처리 정확도,업무 개선도,사용 추천도,종합 점수,서술 의견
1,마산지사,농사용(갑),5690-20260115-000001,자동이체,사이버지점,한전ON,90,0,90,-,100,-,-,80,90.0,전반적으로 서비스가 많이 개선된 것 같아요.
2,진해지사,주택용전력,5720-20260115-000002,요금수납관련,전화,한전ON,0,100,10,-,40,80,80,-,62.0,보통입니다.
3,경남본부,농사용(을)저압,7812-20260115-000003,정전,전화,한전ON,0,60,50,-,-,20,90,-,56.0,직원은 친절했는데 시스템이 복잡한 것 같아요.
4,통영지사,주택용전력,5750-20260115-000004,검침관련,FAX,직원,80,10,70,-,40,80,50,-,56.0,복잡한 요금 체계를 이해하기 쉽게 설명해 주셨어요.
5,거창지사,주택용전력,5770-20260115-000005,검침관련,전화,직원,0,60,30,-,-,50,90,-,58.0,처리 과정에 대한 안내가 없어서 답답했습니다.
6,진주지사,주택용전력,5740-20260115-000006,청구서재발행,전화,기타,0,20,10,-,-,20,60,-,28.0,민원 처리가 너무 느립니다. 일주일이 지나도 연락이 없었어요.
7,거제지사,주택용전력,5768-20260115-000007,요금수납관련,전화,한전ON,0,40,50,-,100,50,60,-,60.0,별로
8,경남본부,주택용전력,7812-20260115-000008,계기업무,전화,기타,0,40,100,-,50,60,80,-,66.0,특이사항 없습니다.
9,밀양지사,일반용(갑)저압,C800-20260115-000009,자동이체,전화,부산고객센터,0,100,90,-,-,30,100,-,80.0,직원분이 매우 친절하셔서 기분 좋았습니다.
10,밀양지사,주택용전력,5732-20260115-000010,계기업무,전화,기타,0,90,50,-,-,90,20,-,62.0,모바일 앱 UI가 좀 더 직관적이면 좋겠어요.
11,진해지사,주택용전력,C100-20260115-000011,기타단순문의등,전화,서울고객센터,0,100,60,-,-,90,60,-,78.0,괜찮음
12,하동지사,산업용(갑)저압,5771-20260115-000012,정전,사이버지점,한전ON,10,0,70,-,50,-,-,50,44.0,응답없음
13,마산지사,주택용전력,C800-20260115-000013,자동이체,전화,부산고객센터,0,70,100,-,100,90,100,-,92.0,명절인데도 불구하고 빠르게 처리해 주셨습니다.
14,거제지사,주택용전력,C800-20260115-000014,자동이체,전화,부산고객센터,0,90,90,-,100,80,90,-,90.0,빠르고 정확한 업무처리에 만족합니다.
15,경남본부,농사용(을)저압,C800-20260115-000015,자동이체,전화,부산고객센터,0,70,100,-,100,90,100,-,92.0,없음
16,사천지사,주택용전력,C800-20260115-000016,자동이체,전화,부산고객센터,0,70,100,-,-,10,20,-,50.0,전반적으로 무난했습니다.
17,함안의령지사,주택용전력,5730-20260115-000017,검침관련,FAX,직원,40,20,40,-,90,90,80,-,60.0,응답없음
18,창녕지사,농사용(을)저압,C100-20260115-000018,기타단순문의등,기타,서울고객센터,70,70,90,-,100,100,10,-,74.0,자동이체 변경이 간편하게 처리되었습니다.
19,진해지사,농사용(을)저압,5720-20260115-000019,정전,전화,한전ON,0,40,80,-,-,100,50,-,68.0,업무 처리가 깔끔하고 빨라서 좋았습니다.
20,진주지사,주택용전력,C800-20260115-000020,자동이체,전화,부산고객센터,0,100,90,-,-,90,100,-,96.0,모바일 앱 UI가 좀 더 직관적이면 좋겠어요.
21,거제지사,주택용전력,5768-20260115-000021,기타단순문의등,내방,직원,10,100,100,-,10,80,90,-,64.0,전반적으로 서비스가 많이 개선된 것 같아요.
22,마산지사,주택용전력,C100-20260115-000022,기타단순문의등,전화,서울고객센터,0,100,80,-,100,100,80,-,92.0,모바일 앱 UI가 좀 더 직관적이면 좋겠어요.
23,경남본부,일반용(갑)저압,C100-20260115-000023,기타단순문의등,전화,서울고객센터,0,100,100,-,-,100,90,-,98.0,빠르고 정확한 업무처리에 만족합니다.
24,함양지사,일반용(갑)저압,C100-20260115-000024,기타단순문의등,전화,서울고객센터,0,100,80,-,-,90,70,-,84.0,응답없음
25,경남본부,일반용(갑)저압,7812-20260115-000025,청구서재발행,전화,기타,0,30,20,-,-,100,10,-,40.0,처리 과정에 대한 안내가 없어서 답답했습니다.
26,통영지사,일반용(갑)저압,C100-20260115-000026,기타단순문의등,전화,서울고객센터,0,80,90,-,80,80,10,-,68.0,그냥 그렇습니다.
27,마산지사,주택용전력,5690-20260115-000027,자동이체,내방,직원,90,80,100,-,100,80,90,-,90.0,불만없음
28,진해지사,주택용전력,C800-20260115-000028,자동이체,전화,부산고객센터,0,80,100,-,-,100,30,-,78.0,고마워요
29,마산지사,주택용전력,5690-20260115-000029,기타단순문의등,사이버지점,한전ON,100,0,10,-,30,-,-,100,60.0,모바일 앱 UI가 좀 더 직관적이면 좋겠어요.
30,진해지사,농사용(을)저압,C100-20260115-000030,기타단순문의등,전화,서울고객센터,0,100,100,-,-,100,90,-,98.0,직원은 친절했는데 시스템이 복잡한 것 같아요.
31,경남본부,일반용(갑)저압,7812-20260115-000031,요금수납관련,사이버지점,한전ON,60,0,20,-,10,-,-,30,30.0,상담원 연결까지 시간이 오래 걸려서 불편했습니다.
32,함안의령지사,일반용(갑)저압,C100-20260115-000032,기타단순문의등,전화,서울고객센터,0,80,90,-,-,80,90,-,84.0,명절인데도 불구하고 빠르게 처리해 주셨습니다.
33,밀양지사,주택용전력,C800-20260115-000033,자동이체,전화,부산고객센터,0,100,100,-,-,100,90,-,98.0,직원분의 전문적인 안내에 감사드립니다.
34,경남본부,주택용전력,7812-20260115-000034,계기업무,전화,기타,0,60,70,-,-,50,20,-,50.0,전화 응대가 매우 친절했습니다. 감사해요.
35,마산지사,주택용전력,C800-20260115-000035,자동이체,기타,부산고객센터,100,90,70,-,100,90,100,-,92.0,응답없음
36,진주지사,주택용전력,5740-20260115-000036,정전,사이버지점,한전ON,10,0,20,-,90,-,-,100,56.0,전기요금이 왜 이렇게 많이 나왔는지 설명이 부족했어요.
37,진주지사,주택용전력,5740-20260115-000037,청구서재발행,전화,기타,0,60,50,-,-,40,60,-,52.0,주말에는 전화 상담이 안 되어서 불편합니다.
38,진주지사,농사용(을)저압,5740-20260115-000038,기타단순문의등,사이버지점,한전ON,100,0,90,-,100,-,-,80,92.0,직원분의 전문적인 안내에 감사드립니다.
